Condition	Block	TrialInBlock	Target	Competitor_1	Competitor_2	Competitor_chosen	RTinSec	Session_number	
CB	5	117	4	3	6	1	0.975	1	
CB	5	118	4	4	5	2	0.830	1	
CB	5	119	4	4	6	1	1.254	1	
CB	5	120	4	5	6	1	2.008	1	
CY	6	1	1	1	2	2	1.225	1	
CY	6	2	1	1	3	2	1.294	1	
CY	6	3	1	1	4	1	0.871	1	
CY	6	4	1	1	5	2	0.735	1	
CY	6	5	1	1	6	1	1.135	1	
CY	6	6	1	2	3	2	2.176	1	
CY	6	7	1	2	4	2	1.766	1	
CY	6	8	1	2	5	1	0.878	1	
CY	6	9	1	2	6	1	1.246	1	
CY	6	10	1	3	4	1	1.271	1	
CY	6	11	1	3	5	1	0.799	1	
CY	6	12	1	3	6	1	1.189	1	
CY	6	13	1	4	5	1	1.327	1	
CY	6	14	1	4	6	1	0.909	1	
CY	6	15	1	5	6	1	1.190	1	
CY	6	16	2	1	2	2	0.876	1	
CY	6	17	2	1	3	2	1.965	1	
CY	6	18	2	1	4	2	0.876	1	
CY	6	19	2	1	5	2	2.232	1	
CY	6	20	2	1	6	1	2.455	1	
CY	6	21	2	2	3	2	1.438	1	
CY	6	22	2	2	4	2	0.910	1	
CY	6	23	2	2	5	2	1.575	1	
CY	6	24	2	2	6	1	1.230	1	
CY	6	25	2	3	4	1	1.477	1	
CY	6	26	2	3	5	1	1.111	1	
CY	6	27	2	3	6	2	0.797	1	
CY	6	28	2	4	5	1	2.133	1	
CY	6	29	2	4	6	1	1.887	1	
